scenario,eirp_dbm,interferer_count,mean_signal_dbm,mean_interference_dbm,noise_dbm,mean_sinr_db,mean_linear_sinr_db,median_sinr_db,p05_sinr_db,p95_sinr_db,outage_lt_0_db,outage_lt_3_db
baseline,50.0,38,-107.13822235273798,-94.79902424923657,-100.01029995663981,-13.408540984375929,-12.87121838499431,-13.415512575838306,-16.97641938125897,-9.830899006397171,1.0,1.0
baseline,50.0,39,-107.13822235273798,-94.69363051648816,-100.01029995663981,-13.49263006303553,-12.95912821301222,-13.49471135030926,-17.04880157390109,-9.95835981017787,1.0,1.0
baseline,50.0,40,-107.13822235273798,-94.57915071818563,-100.01029995663981,-13.58425555883104,-13.04691728718816,-13.575073273039965,-17.2045638677321,-10.023193098710125,1.0,1.0
baseline,50.0,41,-107.13822235273798,-94.47518692896061,-100.01029995663981,-13.665665335993097,-13.133778419146049,-13.656832978332462,-17.224863574031197,-10.128634919556939,1.0,1.0
baseline,50.0,42,-107.13822235273798,-94.3558418849025,-100.01029995663981,-13.756967922643328,-13.225875645441958,-13.754504590052765,-17.31414058891613,-10.231635504408478,1.0,1.0
baseline,50.0,43,-107.13822235273798,-94.24624616295057,-100.01029995663981,-13.84479678661013,-13.309605221677728,-13.835899215903645,-17.42487240708034,-10.304593046918065,1.0,1.0
baseline,50.0,44,-107.13822235273798,-94.15831624208496,-100.01029995663981,-13.916655261956546,-13.387237409416759,-13.914487066506705,-17.488902673962915,-10.427574706929189,1.0,1.0
baseline,50.0,45,-107.13822235273798,-94.04911678003705,-100.01029995663981,-14.002844899894585,-13.473171535301843,-13.97471269410675,-17.548265682047706,-10.465922510217457,1.0,1.0
baseline,50.0,46,-107.13822235273798,-93.96528535594359,-100.01029995663981,-14.072427655940471,-13.550642403345826,-14.053222388767566,-17.60412059117662,-10.575960088489998,1.0,1.0
baseline,50.0,47,-107.13822235273798,-93.86570059812482,-100.01029995663981,-14.152275420315462,-13.625436967799205,-14.145984834224672,-17.712172929999987,-10.642614579721327,1.0,1.0
baseline,50.0,48,-107.13822235273798,-93.77480063415638,-100.01029995663981,-14.225797823437437,-13.693104480175828,-14.236700185176417,-17.766775020135885,-10.652040959837096,1.0,1.0
baseline,50.0,49,-107.13822235273798,-93.67691649053063,-100.01029995663981,-14.305874128650611,-13.77667282521152,-14.307321250605497,-17.82771952621428,-10.779136920641776,1.0,1.0
baseline,50.0,50,-107.13822235273798,-93.58236765524934,-100.01029995663981,-14.383189734926953,-13.859324644905882,-14.37769461213911,-17.905753496142932,-10.885250524818945,1.0,1.0
